city,latitude,temperature,humidity,cloudiness,windspeed
ribeira grande,38.5167,283.72,65,98,11.12
kaitangata,-46.2817,293.11,65,24,2.92
taolanaro,,,,,
jamestown,42.097,273.72,72,100,4.12
mecca,21.4267,293.36,73,0,0.36
atuona,-9.8,299.18,74,9,8.52
touros,-5.1989,299.65,77,12,3.14
kyshtovka,56.555,263.35,93,100,4.47
hermanus,-34.4187,291.43,81,6,6.52
lebu,-37.6167,287.01,79,0,7.29
genhe,50.7833,259.27,72,100,1.57
comodoro rivadavia,-45.8667,291.07,36,0,2.57
punta arenas,-53.15,284.21,82,75,3.09
cleethorpes,53.5605,278.7,92,100,7.62
balkanabat,39.5108,278.31,41,0,2.93
linden,6,296.23,97,12,1.04
ilulissat,69.2167,257.16,78,100,2.06
dingle,10.9995,302.67,62,79,6.03
severo-kurilsk,50.6789,272.17,90,100,7
bengkulu,-3.8004,300.05,70,100,0.19
riyadh,24.6877,285.23,34,17,5.16
puerto ayora,-0.7393,297.2,89,98,2.8
segezha,63.7415,273.67,98,100,6.68
busselton,-33.65,305.4,35,5,2.59
matara,5.9485,299.7,73,29,2.55
qeshm,26.9581,288.08,58,0,0.86
hithadhoo,-0.6,301.4,66,96,6.76
ushuaia,-54.8,283.96,66,40,7.2
port lincoln,-34.7333,293.28,60,56,6.82
catuday,16.2923,300.58,67,75,3.09
maniitsoq,65.4167,251.75,85,99,3.08
narsaq,60.9167,258.27,71,100,4.49
poum,-20.2333,301.14,76,30,6.82
mataura,-46.1927,295.64,32,100,3.08
abadan,30.3392,288.35,29,92,2.65
port hedland,-20.3167,312.18,29,14,2.57
belushya guba,,,,,
tipuani,-15.5648,294.8,98,100,0.79
kushima,31.4583,282.22,57,100,6.13
aleysk,52.4926,263.66,74,100,8.97
rikitea,-23.1203,298.88,71,7,3.44
la rioja,42.25,273.03,55,0,2.99
saint-philippe,-21.3585,298.92,81,93,6.01
talnakh,69.4865,253.82,91,99,5.01
tuktoyaktuk,69.4541,251.12,97,100,5.98
banfora,10.6333,298.37,15,4,2.91
vorukh,39.8494,271.1,43,21,3.9
torbay,47.6666,281.8,83,100,6.71
bandarbeyla,9.4942,295.24,72,2,6.5
hobart,-42.8794,293.72,45,20,10.8
sao joao da barra,-21.6403,297.26,91,100,4.32
bluff,-46.6,295.82,49,100,5.55
meadow lake,34.8014,275.99,48,2,0.13
kapaa,22.0752,301.14,71,0,6.69
talcahuano,-36.7167,287.97,63,0,7.2
saleaula,,,,,
wewak,-3.5534,302.93,66,100,1.6
carnarvon,-24.8667,306.75,46,100,2
victoria,22.2855,292.02,86,100,9.39
dikson,73.5069,246.11,93,60,3.69
salalah,17.0151,293.2,68,0,1.03
qasigiannguit,68.8193,257.29,94,100,2.49
cabo san lucas,22.8909,292.32,82,75,0
nikolskoye,59.7035,274.75,93,100,6.52
castro,-24.7911,287.22,98,12,3.33
thinadhoo,0.5333,300.92,67,100,5.17
nuuk,64.1835,258.49,56,20,6.17
goderich,43.7501,269.21,93,100,10.62
hilo,19.7297,297,91,75,5.14
pangody,65.85,259.41,99,98,3.46
mrirt,,,,,
tiksi,71.6872,240.5,99,84,1.44
caraquet,47.7941,277.78,95,100,1.22
arraial do cabo,-22.9661,297.42,89,71,4.86
bredasdorp,-34.5322,290.53,78,16,5.24
geraldton,-28.7667,310.38,10,13,9.77
sol-iletsk,51.1631,258.76,94,65,3.11
pevek,69.7008,239.6,97,100,1.93
saldanha,-33.0117,291.51,75,21,2.52
yellowknife,62.456,248.38,85,100,5.81
kudahuvadhoo,2.6708,300.45,67,98,3.79
new norfolk,-42.7826,293.52,33,26,2.68
kodinsk,58.6881,256.31,90,100,1.94
linjiang,41.8069,266.52,77,100,1.45
samarai,-10.6167,302.22,74,46,2.3
mys shmidta,,,,,
tarudant,,,,,
sioux lookout,50.1001,244.3,98,34,1.04
ixtapa,20.7,295.72,83,0,2.06
butaritari,3.0707,300.82,72,9,9.98
port elizabeth,-33.918,290.65,79,1,2.55
lagoa,39.05,283.02,63,100,10.48
hualmay,-11.0964,294.9,84,99,3.32
qaanaaq,77.484,249.28,77,100,3.17
anadyr,64.75,252.43,76,5,8
shetpe,44.1667,274.11,49,100,5.49
luderitz,-26.6481,294.75,73,45,4.56
nouadhibou,20.931,292.5,48,100,5.98
alofi,-19.0595,302.09,74,40,4.63
kaeo,-35.1,295.56,55,90,3.4
kalas,18.1667,296.48,37,0,0.53
awjilah,29.1081,283.22,74,5,5.98
myitkyina,25.3833,294.71,34,0,1.13
camana,-16.6228,295.19,85,89,1.43
sao filipe,14.8961,296.18,66,100,1.71
leeton,-34.5667,299.76,21,0,5.36
onega,63.9061,273.95,98,100,5.73
taoudenni,22.6783,288.96,17,88,5.28
thompson,55.7435,243.32,100,82,1.56
la asuncion,11.0333,296.93,85,25,5.63
ridgecrest,35.6225,285.05,21,0,2.57
vaini,-21.2,300.86,73,54,4.51
ponta delgada,37.7333,283.98,66,40,6.69
illoqqortoormiut,,,,,
cape town,-33.9258,292.65,72,0,0.45
santa lucia,27.9117,285.8,77,20,7.72
coquimbo,-29.9533,291,88,100,1.03
oriximina,-1.7656,297.06,93,100,0.75
rubtsovsk,51.5,261.05,78,100,7.27
hailun,47.45,260.79,84,100,1.97
batemans bay,-35.7167,304.93,72,71,5.4
topolobampo,25.6,288.1,63,0,5.14
san patricio,28.017,286.08,46,2,10.04
sorong,-0.8833,300,84,100,1.87
port alfred,-33.5906,292.61,71,36,3.99
georgetown,5.4112,304.11,75,20,3.6
plouzane,48.3833,285.2,97,100,11.83
odweyne,9.4092,288.98,64,2,0.57
bethel,41.3712,286.48,88,100,5.14
tripoli,32.8752,287.53,82,98,5.7
kande,9.9578,298.59,16,1,1.19
la macarena,2.1837,296.74,67,58,1.24
gwanda,-20.9333,291.27,77,0,5.03
paita,-5.0892,295.42,80,89,4.59
amderma,,,,,
sentyabrskiy,,,,,
albany,42.6001,286.38,93,100,1.34
moree,-29.4667,308.12,24,0,3.27
zhicheng,30.2956,277.18,58,90,3.86
nagato,34.3833,282.15,58,100,4.61
tabiauea,,,,,
limbang,4.75,302.21,61,36,0.57
viedma,-40.8135,289.9,55,0,7.18
irondequoit,43.2134,276.18,95,100,5.14
husavik,66.0449,265.99,92,94,3.11
prescott,34.54,278.8,30,0,2.06
san rafael,-34.6177,293.28,29,0,1.09
sikea,,,,,
kiama,-34.6833,304.26,65,1,0.45
ahipara,-35.1667,295.97,56,85,1.93
mehamn,71.0357,271.98,66,100,12.54
monjas,14.5,293.65,67,0,1.39
novobirilyussy,56.9514,262.95,92,100,4.52
barentsburg,,,,,
chokurdakh,70.6333,239.54,100,15,0.72
filipeni,46.5333,278.49,61,62,6.34
neiafu,-18.65,300.99,71,22,2.8
avarua,-21.2078,299.18,89,75,3.09
grand-santi,4.25,295.13,99,100,0.91
tautira,-17.7333,300.16,74,29,5.9
pecos,31.4229,278.87,33,0,3.09
tasiilaq,65.6145,268.24,93,100,8.45
mar del plata,-38.0023,291.53,76,0,5.36
abu samrah,35.3029,280.82,76,6,2.04
estancia,-11.2683,297.52,85,97,1.69
katsuura,35.1333,283.23,38,0,8.58
upernavik,72.7868,240.47,97,98,2.05
flin flon,54.7682,250.97,96,100,2.47
fort nelson,58.8053,254.62,93,100,2.57
denpasar,-8.65,302.99,74,20,4.63
clinton,42.587,268.68,91,100,6.17
chuy,-33.6971,293.34,83,41,3.7
floro,61.5996,276.13,87,75,6.69
kijang,35.2442,277.37,55,100,3.56
hasaki,35.7333,283.31,33,0,9.25
karratha,-20.7377,309.78,33,56,1.37
ravar,31.2656,280.65,52,100,1.71
borama,,,,,
longyearbyen,78.2186,260.06,72,0,6.69
isangel,-19.55,305.21,70,75,2.57
pisco,-13.7,294.18,78,0,3.6
inhambane,-23.865,297.6,85,60,4.39
kargil,34.5667,249.69,88,71,0.5
lac du bonnet,50.2536,242.55,100,38,2.06
deputatskiy,69.3,240.73,99,58,1.08
clyde river,70.4692,235.89,85,72,1.56
kununurra,-15.7667,307.14,52,66,3.09
najran,17.4924,286.68,38,4,0.47
fakel,57.6325,266.44,89,68,5.87
baykit,61.67,252.61,100,100,1.33
sitka,57.0531,278.09,87,100,2.57
sayyan,15.1718,283.47,52,2,0.79
tuensang,26.2833,290.68,41,0,1.03
east london,-33.0153,293.58,72,96,3.35
marzuq,14.4,288.7,69,2,1.78
namtsy,62.7161,242.21,91,60,0.93
petropavlovsk-kamchatskiy,53.0452,271.48,69,75,1
nouakchott,18.0858,294.11,31,100,4.48
daru,-9.0763,298.79,88,100,3.23
barrow,71.2906,248.16,77,100,0
erlensee,50.16,282.81,73,100,4.43
ferrol,43.4832,287.41,82,91,7.97
roma,43.2128,285.74,97,100,3.13
puerto leguizamo,-0.1934,294.88,97,99,1.01
phan rang,,,,,
ipu,-4.3222,296.51,85,97,1.6
fukue,32.6881,280.22,62,100,7.74
grand gaube,-20.0064,299.47,77,100,2.24
dzhusaly,,,,,
airai,-8.9266,295.52,68,55,0.67
kazalinsk,,,,,
vao,-22.6667,299.55,83,98,5.28
marawi,7.9986,295.18,57,99,2.96
timbiqui,2.7717,296.54,96,68,2.18
acajutla,13.5928,300.26,68,16,3.84
sabang,5.8933,301.69,71,66,2.27
kodiak,57.79,279.88,76,100,3.09
cherskiy,68.75,239.12,97,62,0.52
boromo,11.75,297.85,15,3,3.29
danville,36.586,293.51,69,40,5.81
alamogordo,32.8995,276.6,83,0,1.54
lompoc,34.6391,287.11,73,0,7.6
la ronge,55.1001,256.09,97,100,2.63
barranca de upia,4.5696,300.88,52,99,1.31
akyab,20.15,296.57,31,6,4.81
codrington,-38.2667,291.06,51,82,7.1
hofn,64.2539,272.49,69,97,6.87
yar-sale,66.8333,254.59,99,77,2.65
andra,62.5147,258.78,100,88,2.12
ancud,-41.8697,283.94,80,0,2.21
mocambique,,,,,
manicore,-5.8092,296,99,100,0.47
souillac,-20.5167,299.46,76,100,8.55
brae,60.3964,278.1,59,76,9.31
kemijarvi,66.7131,267.27,94,100,5.91
vardo,70.3705,272.48,61,100,14.59
canto do buriti,-8.11,295.22,90,26,0.44
provideniya,64.3833,261.21,61,0,9
atar,20.5169,292.87,8,100,2.86
constitucion,-35.3333,287.3,76,0,6.38
cam ranh,11.9214,302.13,70,20,2.06
tukan,53.8409,257.05,95,54,2.12
longhua,23.6137,288.6,92,100,0.73
gannan,47.9147,261.62,90,100,3.53
lorengau,-2.0226,301.56,78,100,2.29
pierre,44.3683,273.3,42,0,2.57
jalu,29.0331,283.28,74,5,5.9
takhtamygda,54.1,258.15,65,16,1.48
miranorte,,,,,
lutz,28.1511,296.63,80,40,0.45
puerto escondido,15.85,300.61,69,75,3.6
sinjar,36.3209,282.58,61,100,2.29
lulea,65.5842,267.19,93,100,6.69
betong,5.7743,299.97,76,90,0.75
palabuhanratu,,,,,
paamiut,61.994,256.99,84,100,2.88
khatanga,71.9667,236.61,99,33,1.41
udaipura,23.0833,292.86,26,1,3.55
mezen,65.8522,272.22,97,100,4.85
akdepe,42.0551,267.15,57,0,3.81
bawku,11.0616,300.38,14,21,3.48
laureles,26.1092,293.68,67,0,2.57
laurel,39.0993,293.15,63,75,6.17
grindavik,63.8424,270.41,74,0,2.57
ponta do sol,32.6667,289.5,52,41,1.57
benguela,-12.5763,298.3,75,100,1.19
saint-ambroise,48.5501,264.03,88,100,2.93
kushmurun,52.4503,261.74,95,99,6.25
saskylakh,71.9167,242.64,92,60,3.62
noumea,-22.2763,303.14,99,92,4.5
henties bay,-22.116,294.18,89,70,2.77
vaitupu,,,,,
dembi dolo,8.5333,291.74,31,66,2.25
ostrovnoy,68.0531,270.64,94,100,7.76
yeppoon,-23.1333,306.03,63,65,4.76
lavrentiya,65.5833,252.23,91,100,6.17
ryotsu,38.0833,276.13,65,76,6.11
ketchikan,55.3422,280.14,100,100,2.57
quesnel,52.9999,275.25,97,100,1.17
necochea,-38.5473,286.5,80,0,3.85
fairbanks,64.8378,263.05,65,100,3.09
kargasok,59.0556,264.97,95,100,3.68
chifeng,42.2683,266.84,50,83,4.32
solnechnyy,50.7214,262.39,84,91,1.41
bambous virieux,-20.3428,299.38,77,100,9
lamtah,35.6667,289.02,72,20,3.09
richards bay,-28.783,294.78,87,100,2.51
south shields,54.9986,277.7,87,75,3.09
bowen,-20.0167,301.84,74,90,6.2
zacualtipan,20.65,287.42,76,2,0.38
kaputa,-8.4689,292.03,86,98,1.43
hobyo,5.3505,296.58,74,60,6.58
bontang,0.1333,300.98,73,100,2.22
takanabe,32.1333,281.14,49,100,4.93
mount gambier,-37.8333,293.35,41,26,5.24
barra do corda,-5.5,295.66,97,95,0.54
doctor pedro p. pena,,,,,
northam,51.0333,285.03,96,100,13.04
baisha,26.5222,276.64,96,100,1.95
dhidhdhoo,6.8833,300.27,71,20,1.33
prabumulih,-3.45,297.94,91,100,1.41
namatanai,-3.6667,302.43,68,97,3.64
nantucket,41.2835,286.34,93,100,7.72
donaueschingen,47.95,280.11,90,77,2.69
saint anthony,45.0205,257.55,63,0,2.57
port blair,11.6667,298.17,94,100,1.03
anamur,36.0751,283.16,65,47,2.2
clarence town,-32.5833,310.56,28,0,2.6
tsihombe,,,,,
dillon,34.4166,294.4,82,96,9.02
batagay-alyta,67.8006,246.19,84,99,0.98
bielsk podlaski,52.7651,275.94,87,100,8.84
hailar,49.2,258.95,89,100,4.47
cidreira,-30.1811,295.65,84,2,4.38
san juan,-31.5375,300.72,25,69,1.5
camacha,33.0833,287.83,63,75,3.09
hvittingfoss,59.4833,276.55,52,99,7.6
gosainganj,26.5833,289.12,55,0,2.43
sola,-13.8833,301.07,70,96,0.22
tabas,33.5959,281.18,37,32,1.46
syracuse,37.0881,282.21,63,10,2.26
savinka,50.0785,270.95,88,99,6.14
bukama,-9.2,293.14,98,100,0.81
khonuu,,,,,
bur gabo,,,,,
tevaitoa,-16.7833,300.05,73,26,4.36
le chambon-feugerolles,45.3969,279.46,87,0,3.6
toliary,,,,,
kiunga,-6.1219,306.11,55,83,0.58
yairipok,24.6667,289.36,39,0,1.03
qaqortoq,60.7167,258.43,70,100,4.37
pemberton,50.3164,278.89,98,98,1.56
grand river south east,,,,,
kadoshkino,54.0257,273.92,86,100,10.85
goundam,16.4145,292.57,18,75,3.95
yanchukan,,,,,
ambilobe,-13.2,296.08,95,9,0.97
joniskis,56.2403,274.66,84,94,7.53
quthing,-30.4,288.21,77,23,1.77
korla,41.7597,269.55,36,48,2.28
coihaique,-45.5752,289.49,67,98,1.03
san cristobal,7.7669,294.25,76,97,0.23
kawalu,-7.3817,301.32,72,96,0.73
komsomolskiy,40.4272,272.83,74,88,3.09
xochistlahuaca,16.7833,295.36,81,0,0.23
mabay,6.0577,302.9,65,93,2.58
canico,32.6333,289.75,72,40,2.57
maragheh,37.3917,271.83,84,100,1.97
kavaratti,10.5669,300.11,66,0,4.57
mancio lima,-7.6142,295.04,98,56,0.95
coahuayana,18.7333,294.62,87,0,0.82
palmer,42.1584,287.8,79,100,9.26
marcona,,,,,
cazaje,,,,,
agva,,,,,
tuatapere,-46.1333,295.83,44,100,5.48
north platte,41.1239,271.14,64,0,4.63
wanaka,-44.7,294.32,42,100,6.26
nacozari,25.3366,288.21,37,100,5.2
naliya,23.2667,293.23,60,0,3.7
ada,43.4166,277.9,58,0,0
yulara,-25.2406,302.54,22,0,6.51
hervey bay,-25.2986,303.73,62,9,2.76
manali,13.1667,300.41,76,50,3.78
guerrero negro,27.9769,290.61,50,0,2.59
great yarmouth,52.6083,282.01,87,100,6.11
plettenberg bay,-34.0527,289.92,84,0,1.88
babanusah,,,,,
la palma,33.8464,291.6,35,0,4.63
faanui,-16.4833,300.12,73,20,4.01
ambon,-3.6954,306.23,55,40,6.17
mount isa,-20.7333,309.02,26,1,2.06
santa marta,11.2408,302.53,55,24,11.62
north bend,43.4065,282.01,96,0,5.66
cap-aux-meules,47.3821,277.18,100,100,8.23
lotofaga,-13.9764,300.39,78,72,3.71
arlit,18.7369,293.37,16,11,3.94
alae,8.4244,297.13,54,100,1.8
tual,-5.6667,301.48,72,94,2.24
ghanzi,-21.5667,293.06,46,31,3.24
cockburn town,21.4612,298.34,78,4,8.9
ternate,0.8,301.21,71,92,1.33
makakilo city,21.3469,300.33,57,20,5.66
yinchuan,38.4681,270,36,100,2.52
leningradskiy,69.3833,248.15,98,100,3.96
umm kaddadah,13.6017,290.5,14,5,4.69
norman wells,65.282,241.63,99,22,1.2
tumannyy,,,,,
teguise,29.0605,287.27,77,95,4.12
ust-omchug,61.15,250.43,91,72,3.14
xadani,,,,,
ambovombe,-25.1667,294.86,92,0,2.43
vysokogornyy,50.1167,259.41,81,100,4.1
obuasi,6.206,295.84,96,100,0.94
padang,-0.9492,303.18,59,68,0.51
dubbo,-32.25,304.22,25,4,6.17
iskateley,67.6803,269.21,91,100,6.39
bahia honda,22.9036,295.8,88,10,2.12
kota,25.1833,292.02,32,0,1.71
bella union,-30.2752,300.67,37,0,6.6
tucurui,-3.7661,295.72,94,99,0.73
santa eulalia del rio,,,,,
karksi-nuia,58.1033,273.08,87,100,5.87
saint-augustin,51.226,271.52,90,100,3.72
beira,-19.8436,301.2,74,40,8.23
maceio,-9.6658,296.84,88,0,2.06
harindanga,22.0383,293.14,34,2,3.57
san juan del sur,11.2529,298.99,74,100,9.29
villamontes,-21.25,294.88,96,100,1.15
villa carlos paz,-31.4241,293.74,84,2,1.68
khromtau,50.2503,257.28,94,5,2.88
attawapiskat,,,,,
gorele,41.0308,278.84,53,98,3.54
tiznit,29.5833,287.03,36,100,1.62
vanimo,-2.6741,302.78,70,100,2.78
havre-saint-pierre,50.2334,271.48,100,100,4.12
zapolyarnyy,69.4154,270.75,80,100,12.39
ocampo,21.65,286.69,35,4,2.89
azad shahr,34.7909,275.04,68,100,1.72
laguna,38.421,288.9,57,0,1.54
carutapera,-1.195,297.63,87,100,2.3
praia da vitoria,38.7333,282.46,81,75,11.67
hrubieszow,50.805,279.02,82,99,9
cap malheureux,-19.9842,299.52,77,100,2.24
okhotsk,59.3833,258.65,73,73,5.2
san julian,21.0167,288.36,35,1,2.24
kahului,20.8947,299.16,78,0,9.77
banda aceh,5.5577,301.94,71,44,0.64
janakkala,60.9,271.3,90,100,6.35
chunhuhub,19.55,294.39,96,0,1.34
iqaluit,63.7506,240.2,67,0,5.14
yavas,54.4159,274.87,91,100,8.36
esil,51.9556,259.2,93,99,4.98
tazovskiy,67.4667,260.39,94,100,5.83
kangaba,11.9333,296.17,18,3,2.01
nizhneyansk,,,,,
shediac,46.2198,284.5,81,100,11.32
buta,2.7858,294.55,59,95,0.78
gijon,43.5357,283.29,90,14,1.79
yakeshi,49.2833,259.36,83,100,4.31
hirara,24.8,292.3,88,75,11.83
yumen,40.2833,263.54,70,100,2.32
zarinsk,53.7074,264.7,92,100,7.91
currais novos,-6.2608,296.62,77,70,4.15
flinders,-34.5833,304.15,66,1,1.79
mogwase,-25.185,291.2,83,20,0.5
tokur,53.1333,257.41,85,98,0.72
miri,4.4148,303.23,74,40,2.06
urengoy,65.9667,261.47,96,100,4.22
mahebourg,-20.4081,299.4,89,75,6.69
yaan,7.3833,299.34,52,11,1.92
pakxe,15.1167,301.23,78,40,2.06
jardim,-21.4803,301.95,31,100,4.2
ambulu,-8.345,303.12,65,32,1.1
setermoen,68.861,269.13,86,100,2.68
humberto de campos,-2.5983,297.16,89,99,1.49
karaul,,,,,
nome,64.5011,264.19,38,0,5.66
pangnirtung,66.1451,245.41,99,99,0.98
egvekinot,66.3167,250.31,87,6,7.5
aripuana,-9.1667,295.58,99,93,0.84
hafizabad,32.0679,286.62,56,16,1.89
zahir pir,28.8124,288.98,45,0,5.36
san felipe,10.3399,294.54,91,99,2.52
bintulu,3.1667,303.38,74,20,1.54
boguchany,58.3814,257.18,89,100,2.06
kaniama,-7.5667,291.73,97,100,1.1
manado,1.487,302.58,79,40,3.6
louisbourg,,,,,
kushiro,42.975,270.68,54,75,3.6
port moresby,-9.4431,302.83,70,75,4.12
kupang,-10.1667,302.99,68,10,1.03
nalut,30.3333,282.02,64,0,2.81
vila velha,-20.3297,298.12,86,0,2.57
hamilton,39.1834,275.4,95,100,9.77
shakawe,-18.3667,292.39,80,14,2.01
caborca,30.5838,285.43,24,0,3.98
biak,-0.9131,299.51,74,100,0.28
xining,36.6167,265.87,71,100,3.08
novoagansk,61.9449,265.76,96,98,3.37
newcastle,-32.9272,308.81,63,20,4.63
puno,-15.8333,280.79,78,56,1.55
kruisfontein,-34.0033,287.78,86,0,2.02
shu,43.5983,266.69,73,3,1.4
sumbe,-11.2061,298.01,79,100,1.48
kaset sombun,16.2805,300.06,62,81,1.01
porto novo,6.4965,301.05,87,100,2.4
hoi an,15.8794,301.13,81,39,2.18
mulatupo,8.9492,298.02,89,93,3.94
tommot,58.9564,253.55,90,100,1.31
yasnogorsk,54.4803,274.28,99,100,7.7
kualakapuas,-3.0091,298.24,81,99,3.04
kutum,14.2,288.89,15,29,1.18
fare,-16.7,300.11,72,7,4.25
santa cruz cabralia,-16.2781,298.28,94,40,1.03
porec,45.2258,280.02,84,67,2.43
broome,42.2506,286.18,80,100,8.05
puerto lopez,4.0845,302.41,47,90,2.44
cayenne,4.9333,299.31,85,75,1.79
bereda,43.2686,285.37,98,39,3.68
yatou,37.15,273.35,47,69,1.62
lolua,,,,,
mersing,2.4312,303.1,79,40,3.6
luorong,24.4058,281.74,89,100,3.93
los llanos de aridane,28.6585,289.01,39,75,4.47
khorramshahr,30.4397,286.13,62,0,2.06
gazanjyk,39.2446,276.2,47,0,3.97
chagda,,,,,
tawnat,,,,,
carrick-on-suir,52.3492,281.79,81,90,11.38
savannah bight,16.45,299.26,84,0,11.23
nguiu,,,,,
lodja,-3.4833,293.1,98,80,0.72
umzimvubu,,,,,
san pedro,14.35,301.72,70,75,1.54
morant bay,17.8815,299.94,81,13,4.98
nan,18.8333,300.16,69,20,4.12
hovd,48.0056,253.62,68,14,1.91
utkivka,49.7858,276.49,95,100,6.04
mackay,-21.15,305.75,72,100,5.74
tessalit,20.1986,292.15,20,100,3.1
buala,-8.145,302.02,75,52,1.64
bilma,18.6853,290.05,30,4,8.86
hambantota,6.1241,298.99,65,84,3.25
pitimbu,-7.4706,299.48,69,0,3.01
kovdor,67.5662,266.6,94,100,5.01
kathmandu,27.7167,283.27,81,20,0
san quintin,30.4833,287.35,74,0,2.36
caravelas,-17.7125,298.14,88,100,2.7
aberdare,51.7144,284.81,96,100,10.62
asyut,27.181,285.3,61,100,2.93
ulaangom,49.9811,247.1,87,56,0.41
miandrivazo,-19.5167,298.56,84,62,0.97
sarakhs,36.5449,274.23,64,0,3.09
illapel,-31.6308,293.93,66,0,1.19
semme,46.1963,282.38,95,100,4.2
suntar,62.1444,245.42,95,97,1.17
quatre cocos,-20.2078,299.31,79,100,9.07
buraydah,26.326,285.4,29,31,4.4
alta floresta,-9.8756,295.36,97,100,1.29
ekhabi,53.5102,265.75,93,100,6.79
jaspur,29.2833,287.45,49,0,1.45
kirkuk,35.4681,283.89,46,100,1.99
kendari,-3.945,304.48,58,27,1.42
praya,14.9215,295.45,78,100,8.75
narasannapeta,18.4167,297.45,69,3,1.69
dallas,32.7668,274.91,66,75,6.26
atka,,,,,
progreso,21.2833,299.21,70,1,6.24
neverkino,52.7854,270.56,88,97,7.66
karacabey,40.2152,279.36,72,92,1.88
college,64.8569,263.04,65,100,3.09
antequera,37.0194,285.62,46,6,2.31
lebedinyy,58.5167,251,92,100,2.03
berlevag,70.8578,272.38,61,100,13.48
waipawa,-41.4122,294.5,53,9,4.31
sechura,-5.5569,295.78,75,74,5.4
bathsheba,13.2167,297.49,83,40,7.2
veseloyarsk,51.2836,260.66,78,100,6.67
batticaloa,7.7102,298.04,81,98,3.73
longlac,,,,,
ciudad real,39,280.43,96,14,0.45
damghan,36.1683,275.62,56,46,1.51
truro,50.2653,285.75,94,75,12.86
leshukonskoye,64.8989,272.73,97,100,5.42
lata,40.1629,284.84,98,35,0.41
polunochnoye,60.8697,262.95,94,87,2.17
idil,37.3411,279.89,60,100,0.36
sambava,-14.2667,297.44,86,34,3.72
tampilisan,8.0167,302.07,64,83,3.68
boda,4.3189,294.06,53,12,1.13
danshui,22.7984,291.96,78,100,4.23
pacific grove,36.6177,287.4,64,0,2.57
skerries,53.5828,281.76,89,99,8.4
maturin,9.75,293.6,93,14,2.22
margate,51.3813,282.07,83,100,4.02
zhigansk,66.7697,244.46,96,99,0.61
xiamen,24.4798,288.18,67,100,4
nishihara,26.1842,288.75,88,75,11.32
mokhsogollokh,61.4681,250.6,90,100,0.8
westport,41.1415,287.23,93,100,10.8
porbandar,21.6422,294.67,49,0,4.52
navapur,,,,,
kandrian,-6.2167,303.81,67,100,4.44
dandong,40.1292,269.5,56,100,2.56
kadykchan,,,,,
port-gentil,-0.7193,300.38,74,94,3.71
salta,-24.7859,291.25,87,75,1.79
witbank,-25.8713,286.81,91,38,2.86
dongsheng,39.8161,263.16,42,100,7.42
jauja,-11.7758,282.76,83,87,0.31
sokolovo,52.5318,266.21,92,100,3.83
yerbogachen,61.2767,251.63,96,97,1.67
hidalgotitlan,17.7833,295.58,94,0,1.43
namibe,-15.1961,297.78,79,98,1
someshwar,13.5,297.8,60,94,0.89
suffolk,40.8668,286.89,94,100,7.72
ankazoabo,-22.2833,296.24,82,99,0.81
lipin bor,60.2622,273.78,97,100,7.84
nahariyya,33.0059,283.7,77,48,0.89
eugene,44.0521,281.63,87,75,2.57
shiyan,32.6475,274.81,58,98,0.57
bianzhuang,34.8486,276.46,54,100,3.06
fortuna,40.5982,282.7,91,0,0
tosya,41.0155,273.81,81,82,1.5
karasjok,69.4719,269.21,86,100,8.81
tiarei,-17.5333,300.16,74,19,5.62
rafaela,-31.2503,295.36,70,0,1.34
erzin,36.9559,275.55,68,96,2.07
kalmunai,7.4167,298.4,80,84,3.45
mitsamiouli,-11.3847,300.75,74,83,0.79
barbastro,42.0356,281.55,73,5,1.32
saint-jean-port-joli,47.2171,272.53,96,100,6.24
mulege,26.8833,287.4,60,0,4.21
haines junction,60.7522,269.12,80,100,3.09
cartagena del chaira,1.3349,296.96,71,72,0.94
santa cruz,-17.8,295.85,100,100,4.12
slobidka,47.8869,277.16,84,59,7.42
baoqing,46.3317,264.09,76,66,0.66
khandyga,62.6667,244.55,91,62,0.14
murwillumbah,-28.3167,307.45,69,5,6.69
challans,46.8436,285.26,89,98,9.32
kokopo,-4.352,302.48,69,59,4.69
erenhot,43.6475,258.8,80,71,5.27
kobayashi,31.9833,281.58,36,100,2.65
